HSC1_1	HSC1_13	HSC1_14	HSC1_2	HSC1_3	HSC1_4	HSC1_6	HSC1_7	HSC1_8	HSC1_9	HSC3_10	HSC3_12	HSC3_13	HSC3_14	CMP_4	CMP_5	CMP_6	CMP_7	MEP_1	MEP_2	MEP_3	MEP_4	MEP_5	MEP_6	MEP_7	MEP_8	MEP_9	ERY1_3	ERY1_4	ERY1_5	ERY1_6	ERY1_7	ERY1_8	ERY1_9	ERY2_3	ERY2_4	ERY2_5	ERY2_6	ERY2_7	ERY2_8	ERY2_9	ERY3_3	ERY3_4	ERY3_5	ERY3_6	ERY3_7	ERY3_8	ERY4_3	ERY4_4	ERY4_5	ERY4_6	ERY4_7	ERY4_8	ERY4_9	ERY5_3	ERY5_5	ERY5_6	ERY5_7	ERY5_8	ERY5_9	MEGA1_2	MEGA1_3	MEGA1_4	MEGA1_5	MEGA1_6	MEGA1_7	MEGA2_2	MEGA2_3	MEGA2_4	MEGA2_5	MEGA2_6	MEGA2_7	GMP_4	GMP_5	GMP_7	GMP_9	GRAN1_2	GRAN1_3	GRAN1_4	GRAN1_5	GRAN1_6	GRAN2_2	GRAN2_4	GRAN2_5	GRAN2_6	GRAN3_3	GRAN3_4	GRAN3_5	GRAN3_6	MONO1_1	MONO1_2	MONO1_3	MONO1_4	MONO2_1	MONO2_2	MONO2_3	MONO2_4	MONO2_5	EOS2_1	EOS2_2	EOS2_3	EOS2_4	EOS2_5	BASO1_3	BASO1_4	BASO1_5	BASO1_6	BASO1_7	BASO1_8	DENDA2_1	DENDA2_2	DENDA2_3	DENDA2_4	DENDA2_5	DENDA1_1	DENDA1_2	DENDA1_3	DENDA1_4	DENDA1_5	PREBCELL2_1	PREBCELL2_3	PREBCELL2_4	PREBCELL2_6	PREBCELL3_1	PREBCELL3_3	PREBCELL3_4	PREBCELL3_5	PREBCELL3_6	BCELLA1_1	BCELLA1_2	BCELLA1_3	BCELLA1_4	BCELLA1_5	BCELLA2_1	BCELLA2_2	BCELLA2_3	BCELLA2_4	BCELLA2_5	BCELLA3_1	BCELLA3_2	BCELLA3_3	BCELLA3_4	BCELLA3_5	BCELLA4_1	BCELLA4_2	BCELLA4_3	BCELLA4_4	BCELLA4_5	NKA1_1	NKA1_2	NKA1_4	NKA1_5	NKA2_1	NKA2_2	NKA2_3	NKA2_4	NKA2_5	NKA3_1	NKA3_2	NKA3_3	NKA3_4	NKA3_5	NKA4_2	NKA4_3	NKA4_4	NKA4_5	TCELLA1_11	TCELLA1_5	TCELLA1_6	TCELLA1_7	TCELLA2_10	TCELLA2_11	TCELLA2_3	TCELLA2_5	TCELLA2_6	TCELLA2_7	TCELLA2_8	TCELLA3_11	TCELLA3_3	TCELLA3_5	TCELLA3_6	TCELLA3_7	TCELLA3_8	TCELLA4_10	TCELLA4_11	TCELLA4_3	TCELLA4_5	TCELLA4_6	TCELLA4_7	TCELLA4_8	TCELLA6_10	TCELLA6_11	TCELLA6_3	TCELLA6_5	TCELLA6_6	TCELLA6_7	TCELLA6_8	TCELLA7_10	TCELLA7_11	TCELLA7_3	TCELLA7_5	TCELLA7_6	TCELLA7_7	TCELLA7_8	TCELLA8_10	TCELLA8_11	TCELLA8_3	TCELLA8_5	TCELLA8_6	TCELLA8_7	TCELLA8_8
MGEA5	-0.0105	-0.864	-0.4834	-0.1514	-0.4877	-0.8472	-0.1728	-0.059	0.043	0.3684	-0.4839	0.1651	-0.5722	-0.053	-0.7602	-0.8941	-1.3114	-0.7881	-0.8467	-0.5136	-0.4071	-0.7807	-0.855	-0.6988	-0.4416	-0.7481	-0.8677	-0.6551	-1.0918	-0.5181	-0.4693	-0.6751	-0.7883	-0.7528	-1.9151	-0.4067	-1.0255	-0.9278	-0.1658	-0.3448	-0.6961	-0.4278	-0.6455	-0.9173	-0.7832	-0.8569	0.5579	-1.3149	-0.5639	-0.838	-0.961	-1.0658	-0.0431	-0.2527	-0.7994	-0.3047	-1.0216	-1.014	0.5045	0.5862	-0.9566	-0.5945	-0.0754	-0.6682	-1.4502	-0.9924	-0.6182	-1.2603	0.3169	-0.8196	-0.6403	-1.1218	-0.0261	-0.1448	-0.443	-0.9757	0.3183	1.2399	0.0629	0.8587	0.1181	0.4631	-0.0165	-0.6133	-0.3985	-0.0012	0.5035	0.4065	0.0226	-0.7212	-0.0213	-0.9007	-0.59	-0.6588	-0.7708	-0.4007	-0.6008	-0.8227	-0.5007	-0.0304	0.4004	-0.3536	-0.8814	-0.8345	-0.4828	-0.5275	0.0243	-0.1093	0.4658	0.1723	-0.5277	-0.8049	-0.4416	-1.011	-0.0525	-0.9704	-1.3907	-0.2852	-1.1694	0.0561	-0.7014	-1.7136	-0.2041	-0.4115	-0.3905	-1.2013	-0.9645	0.037	1.0241	0.8297	1.9386	1.021	1.2688	1.133	0.9973	1.2873	1.2496	1.107	1.6605	1.5272	1.0172	1.1728	0.9876	1.1006	0.679	1.0713	1.0958	1.1577	-0.1803	-0.2031	0.5119	-0.5359	0.5546	0.7962	1.2796	0.6445	0.6389	0.5621	0.6064	0.5956	1.3297	-0.2129	-1.069	0.6853	0.1824	-1.203	-0.2852	0.9477	0.0035	0.7622	1.2522	0.5704	0.8648	1.4417	0.8115	0.5267	0.9269	0.5923	0.2242	0.9137	0.6186	1.1191	-0.2559	0.8669	0.349	0.7773	1.0856	1.0103	1.4814	-0.7648	0.9376	0.8761	0.7717	1.1485	1.1179	0.9199	0.7994	-0.027	0.1707	0.9269	0.9671	1.2329	0.9013	0.9164	1.1117	0.3458	1.232	1.2276	-0.0413	1.2384	0.99
SOBP	0.59781	-0.20939	-0.43599	-0.20409	-0.47479	-0.36819	-0.01169	-0.02309	-0.04869	-0.40189	0.04191	0.00751	-0.04069	0.58191	-0.33049	0.05501	-0.80469	0.80711	-0.37669	-0.12439	-0.13939	-0.44959	-0.99229	-0.86129	-0.53249	-0.03459	-0.17749	-0.16189	-0.16119	-0.53359	0.33911	-0.34789	-0.69269	-0.75039	-0.01009	-0.38199	-0.74639	-0.53119	-0.18429	-0.37399	0.76571	0.37561	-0.13439	0.15691	-0.75999	-0.27619	-0.33269	0.63051	-0.12109	-0.07949	3.28681	-0.37409	-0.35699	-0.01739	-0.37769	-0.33219	0.13711	-0.31489	0.51531	0.21931	0.60061	0.17261	0.38921	-0.30229	-0.81119	-0.09269	-0.15139	0.09311	-0.16699	-0.05229	0.99351	-0.53029	-0.26099	-0.00549	-0.63699	-0.43679	0.45531	1.15831	-0.00309	0.64371	0.12361	0.19341	-0.39449	0.04041	-0.38499	-0.50269	0.52141	0.71991	-0.36809	-0.05049	0.06621	-0.73069	-0.57369	-0.42839	-0.49829	-0.49799	-0.69609	-0.30189	-0.44629	-0.59289	-0.62709	-0.18249	0.67751	0.71801	0.51721	-0.65889	0.49381	0.31821	0.76561	-0.44739	-0.76049	-0.58719	-0.33599	-0.56909	-0.45619	-0.70029	-0.60129	-0.07149	-0.59529	1.16641	-0.48069	-0.41769	-0.26349	-0.59989	-0.11639	0.20221	0.10021	-0.67009	2.43711	2.02831	3.33841	1.83251	2.21251	0.99981	1.12041	1.51711	0.44111	1.40161	3.15261	1.61121	1.86211	1.10361	1.39921	1.46971	0.82731	0.81291	1.30961	-0.66629	-0.69339	-0.71649	-0.60439	-0.77239	-0.65469	-0.76299	-0.39359	-0.72819	-0.85859	-0.27079	-0.63389	-0.48509	0.15521	-0.46309	-0.55529	-0.47849	0.54331	-0.75579	-0.39889	-0.19759	-0.31899	1.43801	0.00671	0.35751	0.44111	0.42741	0.34131	-0.33299	1.00421	-0.60189	-0.50889	0.25991	-0.46149	-0.16409	-0.16819	0.48321	0.31321	0.53731	1.54531	-0.28759	0.29511	-0.35239	-0.46999	-0.74669	-0.14999	-0.61289	-1.06709	-0.62059	-0.65569	-0.50659	-0.23789	-0.27509	-0.75099	-0.00109	-0.38129	-0.69069	-0.42809	-0.50809	-0.51409	-0.16589	-0.49999	-0.27519	-0.37639
KDM4C	-0.04003	-0.50453	-0.29513	0.21567	-0.14963	-1.17043	-0.12373	-0.14433	-0.06503	-0.84563	-0.39413	-0.00393	-0.62203	0.25497	-1.16223	0.00327	-2.45423	-0.88273	0.15377	-0.40303	-0.12813	-0.00433	-1.29623	-0.65723	-1.43363	-1.34213	-1.15073	-0.92913	-1.12313	-0.71153	-0.57873	-1.25443	-1.48283	-1.16583	-0.23893	-0.42013	-0.90023	-0.79253	-0.81523	-0.42263	-0.64193	1.43487	-0.41603	0.46367	-0.73413	0.03777	1.35957	-0.13373	0.25207	-0.98313	-0.65053	-1.45063	0.37667	1.01947	0.71507	-0.13753	-0.02693	-0.67693	0.42297	0.63657	-1.19513	-0.95263	-0.48463	-1.49913	-1.44823	-1.15943	-1.15393	-1.32533	0.19967	-0.84183	0.13047	-1.83783	-0.24133	0.39127	-1.00083	-1.50783	0.60737	1.95437	0.17697	1.35137	0.31867	0.56847	-0.38393	-0.09543	-0.04173	0.01047	0.85167	0.69257	0.25767	-0.77493	0.28997	-0.94163	-0.59583	-0.59753	-0.27953	-0.36043	-0.58113	-0.95183	-0.21213	0.21617	0.38627	-0.42863	-0.58973	-0.86123	-0.35873	-0.66393	-0.21633	-0.36203	0.77697	0.23427	-0.44163	-0.70963	-0.68593	-0.76823	-0.39003	-1.51273	-1.43973	-0.90113	-2.39873	0.57197	-0.28173	-1.16703	-0.55953	0.18657	0.10487	-0.22673	-0.78773	-0.75313	1.25717	1.32787	2.66597	1.37797	1.36897	0.67897	0.87387	1.30017	1.12717	0.98057	1.40607	1.47657	1.16057	1.20687	1.14727	0.84457	1.79727	1.33347	1.13877	0.74297	-0.28623	-0.22483	0.56547	-1.34223	0.10657	0.03437	0.61777	0.17207	-0.31373	0.50867	0.44777	-0.03483	1.51087	-0.34073	-1.41523	0.11557	0.37037	-1.82743	-0.71993	0.85737	0.82217	0.74007	0.84497	0.12187	1.05077	1.56867	0.72627	0.54987	1.07977	-0.09213	0.39177	0.70477	-0.24423	1.01287	-0.53693	-0.30703	-0.17303	1.06047	1.10707	0.81797	1.58467	-0.89343	0.41467	0.27927	0.79717	1.15877	0.98557	0.95297	0.76527	0.06907	-0.35723	0.96747	0.93067	1.10537	0.83357	0.79437	0.87497	-0.29853	1.38787	1.44837	0.31097	1.12017	0.81167
SH3BP5	-0.19304	-0.46124	-1.26914	-0.96984	-0.58184	-1.10814	-0.74274	-0.19604	-0.83744	-0.75424	-0.56444	-0.43074	-0.48824	0.22306	-1.91774	-0.61794	-2.40334	-0.96954	-1.63164	-1.89334	-1.93294	-1.60974	-3.12074	-2.26424	-2.02694	-2.38334	-1.73254	-2.15634	-2.25524	-0.96394	-1.44294	-1.70144	-1.66984	-1.08634	-0.66524	-0.19414	-0.41314	0.65986	0.13976	-0.98274	-0.04384	-1.23754	-2.16764	-2.22704	-1.71114	-1.29654	-1.78924	-1.55784	-1.03874	-2.28374	-0.95374	-1.89714	-2.48454	-1.47644	-0.41884	-1.77004	-0.55334	-2.16794	-0.62944	-0.58194	-0.50114	-0.59884	0.42196	-1.41014	-1.71774	-0.52144	-0.58624	0.90286	1.18396	0.16856	-0.27204	-0.84864	0.76476	0.37806	-0.22694	-2.00004	1.15246	2.11686	0.33506	2.19746	1.00776	1.48816	0.66796	0.48126	0.29276	0.47606	0.96136	0.77906	0.31426	-0.27764	0.56606	-0.43844	-0.28864	0.69016	0.43296	0.62996	0.70566	-0.33374	-0.10844	1.14846	1.11506	0.13866	0.04266	-0.06624	0.88026	-0.40454	0.30426	0.52166	1.21336	0.90696	0.17576	-0.17204	-0.24484	-0.65584	-0.31384	-1.43434	-2.27814	0.05236	-1.77904	-1.64394	-1.83884	-1.46124	0.25166	-1.17864	-0.57744	-0.79094	-1.29694	0.66306	1.77016	1.88676	2.71526	1.71486	2.00836	1.52266	1.50936	1.63386	1.93686	1.26516	1.71186	1.14036	1.28366	1.47566	1.29766	1.33156	2.29106	1.55886	1.35126	1.11846	-1.07844	-1.06934	-0.19644	-1.10284	1.81776	1.44406	1.78936	1.52236	1.40236	0.77226	0.89376	0.77956	1.76076	0.31986	-0.84444	-0.12494	0.98556	-1.12284	0.26826	1.04216	1.18526	1.12806	-0.49304	-0.88464	-0.28784	0.05366	-0.41544	-0.40664	0.62536	0.50716	0.62466	0.84756	1.01756	0.74896	0.79346	0.25096	0.35846	1.42316	0.71196	1.34936	1.35676	0.44666	0.29496	0.03486	-0.39264	0.52526	-0.37224	0.69296	1.01366	1.29546	0.32036	1.74366	1.09816	1.75526	1.29146	2.00976	1.37466	0.50196	1.94166	1.30686	1.26716	1.41136	1.79506
ZNF395	2.08624	1.54624	1.41324	1.60804	1.24654	0.88874	1.67954	1.34484	1.54464	1.80554	1.24464	1.45904	1.55854	1.59664	0.75784	-0.42816	0.95814	0.09854	1.35294	0.97434	0.85014	1.60594	0.78984	1.11744	0.99894	0.93524	0.98694	1.07764	-1.01496	1.18264	0.43824	1.61474	0.49194	1.68974	2.59714	0.76374	0.34624	0.59094	0.80094	1.14824	0.93224	-2.79216	-3.15316	-2.61446	-3.84066	-2.69496	-1.26856	-2.55706	-3.27836	-3.20226	-0.77836	0.11794	-3.53136	-0.24516	-2.77466	-3.76316	-0.70876	0.40944	-0.26346	-3.11726	-0.75666	-0.51376	0.37284	1.22834	1.08384	-2.67696	-2.56226	-0.30066	-0.41876	-1.43816	-0.65586	-3.11056	0.37704	-1.01326	-0.50606	-0.29026	0.96754	1.61304	0.00214	1.23364	0.97684	0.48964	-0.06656	0.12314	0.35184	-0.81596	-0.60036	-1.03196	-0.63356	0.00654	-0.67066	-1.84436	-1.70036	0.18784	0.73744	0.26404	-0.08746	-0.86896	-0.65526	0.43674	0.48994	-0.94386	-0.16726	-0.73196	-0.16596	-1.22086	-0.11696	-0.06456	1.24834	-1.61936	-2.81356	-1.91156	-1.58556	-2.69196	0.39574	-1.61326	-1.29776	-0.30486	-3.86836	0.22864	0.61964	-2.78586	-0.38736	-0.57706	-0.33336	-1.38226	-2.41286	0.09054	1.66234	1.81804	2.90104	1.78004	1.84454	1.51904	1.28594	1.42484	1.54354	1.49744	1.81714	1.91074	1.29444	1.41324	1.42964	1.24054	1.08324	1.36444	1.41954	1.26324	-3.16976	-2.95046	-3.53446	-3.30156	-0.21396	0.21264	1.19264	-0.12826	-0.51766	0.27704	0.30224	0.15654	1.70204	-0.72836	-1.63806	-3.21216	-0.09466	-1.56056	-1.61816	0.34164	-0.07876	0.09624	0.78644	0.59474	0.75084	1.23774	0.88244	1.01724	0.89174	-0.38846	-0.22086	0.28464	0.04604	0.41534	-0.42016	-0.63346	-0.42826	0.04764	0.31344	0.79434	1.14034	-1.23386	0.82364	0.50224	0.89194	0.98394	1.19084	1.15894	1.13544	-0.00806	-0.78606	0.41794	0.88604	1.07814	0.70794	0.34414	1.28024	-0.03626	0.81744	1.23104	0.73174	0.98144	0.80914
PDE4B	1.08807	-0.08073	0.27137	0.70107	0.70767	-0.00773	0.88167	0.05817	0.79287	1.05467	-0.45013	0.90327	0.01657	0.85837	0.06267	-0.18193	-0.96923	0.37087	-0.85123	-0.76293	-1.41773	0.39917	-0.47933	-1.12903	-1.61893	-1.77453	-1.08913	-1.58973	-1.10543	-0.41243	-1.29473	-0.81453	-1.24653	-1.50123	-1.09283	-2.04613	-0.95103	-0.69683	-2.32843	-1.69713	-1.98103	-2.44343	-1.13103	-2.29673	-0.94893	-1.74103	-2.14693	-1.76873	-1.96403	-0.76473	-2.25003	-1.26153	-0.76333	-2.34323	-1.61153	-1.50003	-1.46103	-0.87803	-1.16263	-1.77193	-0.29343	-0.46813	-0.38673	-0.85483	-0.28713	-0.67233	-0.55473	-0.73173	0.08567	-0.00983	-0.39823	-0.80113	0.04057	-0.34933	-0.73053	-1.78743	1.18697	2.01607	0.47307	2.06827	0.58957	0.66427	1.15827	-0.04583	0.17387	-0.40733	0.28347	0.12767	-0.62603	-0.15373	0.52487	-0.57203	1.20547	1.66967	-0.06383	0.25977	0.42897	-0.45723	0.36117	0.20057	0.25017	-0.04983	-0.29193	-0.04263	0.23127	0.37667	0.66787	0.63327	1.80337	0.00087	-0.09733	-0.70083	0.99377	-0.79553	0.43637	-0.80793	-1.21733	0.66797	-0.15463	1.18857	0.74737	0.22847	0.42987	0.03927	-0.10003	-0.66913	0.16047	0.86507	1.28677	1.99867	3.29027	1.86257	2.16007	1.42607	1.52157	1.88177	2.17097	1.49337	1.40317	2.02357	0.89257	0.88847	0.96577	0.85437	0.89247	1.43807	1.21067	1.13567	-1.14403	-0.72373	-1.07293	-0.93913	-1.33623	-1.26943	-2.15123	-1.18293	-1.16213	-1.05783	-0.90993	-0.87523	-0.73103	-0.81083	-0.03233	0.36627	0.60497	-0.62013	-0.70033	0.15687	-0.33993	0.91177	-0.23223	0.28307	0.61607	0.89337	0.55767	1.36977	0.04997	-0.03153	-0.00773	0.50557	1.00407	1.85327	-0.33383	-0.14693	-0.00233	0.94237	1.04247	1.60147	2.27267	-0.17603	0.16397	0.73267	0.59417	0.06517	0.79827	1.15937	0.24187	0.32597	0.30947	1.13727	1.04357	1.45297	1.62047	0.37137	0.14077	0.46687	1.30657	1.15807	0.82657	1.94977	0.24967
ISG20	-1.63247	-0.97747	-0.97657	-0.88547	-1.02717	-1.17057	-0.68077	-1.66147	-1.76297	-1.43707	-1.09577	-1.06677	-1.21257	-0.94267	-1.32397	-1.44217	-0.35467	-0.01767	-1.15507	-1.76937	-1.30287	-1.16847	-0.83397	-1.44437	-1.06557	-0.79717	-1.38757	-1.66487	-0.89617	-1.75297	-1.66347	-1.19897	-1.60377	-1.63487	-1.47897	-1.59107	-0.39317	-0.77177	-1.68497	-1.88547	-1.40677	0.31533	0.10803	1.54373	0.30753	0.66393	0.46363	-0.89267	-0.25767	-0.24847	-0.05817	-0.51567	-0.56327	1.42853	-0.89727	-0.77717	-0.99547	-1.52707	-0.36397	-0.86367	-0.65547	-0.75097	-0.72777	-1.01197	-0.94087	-0.56627	-0.26337	-1.28127	-0.38657	-0.47767	-0.66007	0.45233	0.16803	-0.54587	-1.07497	-1.06787	1.35883	2.15473	-0.05587	1.48423	1.11303	-0.19527	-1.00767	-1.10947	-0.41677	-0.22617	-0.52837	-0.70087	-0.77667	-1.27467	-1.49737	-0.18317	-0.49287	-1.27147	-1.28887	-1.04657	-0.93657	-1.03667	0.14163	0.88163	-0.09657	-0.55387	-1.10637	-0.49287	-0.61927	0.73473	0.47373	0.53733	1.94293	-1.12307	-1.14367	-1.23987	-1.18207	-0.39207	-1.20687	-0.58767	-0.28617	-1.14507	0.47533	0.15123	-0.03077	0.80733	-0.31827	-0.35247	-0.18927	0.17513	-0.09387	0.73053	2.14143	1.85303	2.61293	1.72933	2.43923	1.30713	1.76973	1.64043	2.00323	1.19863	2.04263	0.25163	1.14623	1.94723	1.60663	1.63933	2.14633	0.96413	1.77043	1.32123	-1.06967	-1.23967	-1.15657	-0.38597	0.30473	-0.30237	0.61493	0.32513	-0.31957	0.41933	-0.03987	-0.47437	0.91383	-0.11547	-0.58107	-1.14227	0.26153	-0.28407	-0.14117	0.81293	1.66283	0.82273	1.20173	0.99433	1.50833	2.01753	1.58803	1.78833	1.41393	0.50563	1.13703	1.85843	0.43783	1.26963	0.54803	0.37733	0.81103	1.18423	1.10473	0.30723	1.45773	0.03863	0.77303	0.69823	0.04213	0.74683	1.35593	1.10323	0.76773	1.39243	0.82053	1.12123	2.03613	0.89503	1.07733	0.79063	1.00893	0.44833	1.07573	2.04013	1.69713	1.14363	1.18373
AKAP11	0.47953	-0.05527	-0.03027	0.48753	0.07113	-0.53707	0.44253	0.20513	0.09453	-0.33947	-0.01077	0.42723	0.00873	0.50583	-0.82857	-0.28027	-1.41477	-0.83937	-0.13657	-0.07467	0.10283	0.10063	-0.42097	-0.31607	-0.51197	-0.41787	-0.64987	0.24473	-0.34867	-0.05257	-0.22567	-0.88197	-0.44237	-0.01837	0.11263	-0.17047	-0.49727	-0.46817	-0.25347	0.07203	-0.15917	-0.31757	-1.68807	-1.42477	-1.50587	-1.28947	-0.56587	-0.85947	-1.20547	-1.85317	-0.99917	-1.18097	-1.12997	-0.64307	-1.09197	-1.24167	-0.84147	-0.84917	-0.70887	-0.49217	-0.46717	-0.54037	0.20063	-0.60907	-0.61457	-0.98477	-1.00977	-0.35427	-0.42227	-0.68687	-0.75167	-1.34467	0.32863	-0.17127	-0.58177	-0.71717	0.57413	1.63663	0.02563	1.32193	0.18833	0.56313	-0.05127	0.21503	0.26223	-0.33337	0.54723	1.14223	-0.20217	-0.90237	0.39753	-0.50387	-0.60367	-0.24337	-0.08827	-0.06467	-0.44867	-0.92717	-0.39607	0.13813	0.12593	-0.18077	-0.88297	-1.09307	-0.06347	-0.66117	-0.12547	-0.98457	-0.25287	0.26123	-0.36357	-0.35817	-0.48757	-0.62477	0.03413	-0.88157	-1.08857	-0.90217	-1.24297	-0.04957	-0.74937	-1.36987	-0.73897	-0.46277	-0.64407	-0.42727	-0.27477	-0.69607	1.23163	0.87523	2.36273	0.65363	1.30063	1.37073	1.10683	1.93253	1.07123	0.67093	1.93943	1.28073	1.08463	0.98623	0.18513	1.66693	0.91233	1.46383	0.99093	1.19173	0.29063	0.00163	0.39553	-0.45097	0.00603	-0.34017	-0.08927	-0.26387	-0.16337	0.41723	0.14883	0.01983	0.74093	-0.32077	-0.85317	0.35523	-0.47167	-1.37357	-0.66877	0.34343	0.06123	0.22223	0.87613	0.48193	1.10013	1.53213	0.61933	0.34893	1.20443	-0.14807	0.04113	0.53573	-0.70637	0.65733	-0.25647	0.14593	-0.00617	0.99503	0.63213	0.57633	1.39783	-0.54637	0.69043	0.60163	0.36623	1.13153	1.00083	1.07013	0.69033	0.18413	0.08383	1.31013	0.64663	1.03063	1.09713	0.95393	0.94033	0.01603	1.24073	1.30773	0.16963	1.20823	1.07413
RNGTT	-0.22916	-0.07816	-0.02336	-0.11696	-0.53206	-0.58946	-0.12766	-0.04066	-0.07686	-0.13926	-0.06286	-0.17206	-0.08816	-0.18986	-0.23136	-0.17996	-0.74706	-0.69776	-0.14966	-0.28656	-0.17826	-0.23426	-0.60526	-0.13456	-0.11656	0.02164	-0.10476	0.20894	-0.14896	-0.20196	-0.34736	-0.13976	-0.12986	-0.10016	-0.31896	-0.07906	-0.26576	-0.08716	-0.04916	0.22034	0.14774	-0.54826	-0.78636	-1.04736	-1.12756	-0.94486	-0.26586	-0.99996	-1.79736	-0.79926	-1.18696	-0.35746	-0.84896	-0.21066	-0.42666	-1.20616	-0.71046	-0.27916	-0.34156	-0.24476	-0.59746	-0.37336	0.19164	-0.24566	-0.49066	-0.69466	-0.99476	-0.60846	-0.05876	-0.20036	-0.72576	-0.39906	-0.46076	-0.34576	-0.45706	-0.24816	1.44914	1.72924	0.32824	1.73094	1.42684	0.61884	-0.33716	-0.11416	0.21934	-0.18006	0.00544	0.00394	0.07494	-0.59666	-0.00836	-0.71176	-0.81696	-0.16916	-0.34556	-0.23616	-0.41556	-0.69466	0.60234	1.15674	1.22194	0.06674	-0.13036	0.20374	0.80754	0.18304	0.11174	0.22834	0.96654	-0.27516	-0.35986	-0.36116	-0.50676	-0.65646	-0.14486	-0.41836	-0.43646	-0.23746	-0.60336	0.19624	-0.50326	-0.61196	-0.09316	1.19404	0.68334	0.31094	-0.01586	0.06504	1.04284	0.85344	1.63674	0.82674	1.03024	0.19824	0.23544	0.80184	0.27574	0.17674	2.10794	0.85624	1.53654	1.50784	0.41584	0.98034	0.60204	1.67744	1.22324	0.62774	-0.31836	-0.31796	-0.12616	-0.60846	0.13444	0.06074	0.37654	-0.05626	0.00404	-0.08246	0.05474	-0.04156	0.05734	-0.12756	-0.27616	-0.04586	-0.03396	-0.28746	-0.24326	0.41674	-0.25856	0.48124	0.00334	-0.04976	0.44204	0.60044	0.12374	-0.05936	0.58294	-0.34696	-0.05996	-0.08466	-0.12416	0.58414	0.09924	-0.10596	-0.35106	0.20444	0.29644	0.39034	0.70804	0.04554	0.00414	-0.08436	-0.30996	0.38624	0.18634	0.29284	0.38864	-0.28466	-0.36016	0.07844	0.09044	0.16924	0.19394	0.52054	-0.29286	-0.11956	0.42864	0.16824	0.05864	0.63104	0.21694
KLHL24	-0.08004	-0.60094	-0.18974	0.61866	-0.00254	0.06276	0.47566	0.81686	0.48476	0.55906	-0.17714	0.33006	-0.36364	0.72226	-0.26814	0.23216	-1.10564	-0.84074	0.47346	-0.12014	-0.05014	-0.10714	-0.99764	-0.36554	-1.13584	-1.19814	-0.17804	-0.92094	-0.92524	-0.01484	-0.26934	-0.17614	-1.20034	-1.29894	-1.82934	-0.71724	-1.71074	-0.98464	-0.52684	-0.92594	-1.63724	-0.51674	-0.96794	-0.97584	-1.47624	-1.12234	-1.07634	-1.81534	-1.06664	-1.10354	-2.09314	-1.75614	-0.97034	-1.48404	-1.60634	-0.93634	-0.18924	-0.54894	0.20836	0.01916	-0.04284	-0.46474	-0.01554	-1.51294	-0.90914	-0.65764	-0.07474	-0.74724	0.30076	-1.06794	-1.00814	-1.09814	-0.31684	0.14966	-0.28644	0.17746	0.07626	0.70766	-0.74464	0.56826	-0.11974	0.25256	-0.22804	-0.42124	-0.58754	-0.15484	0.25826	0.02776	-0.05214	-0.15814	-0.37284	-1.32444	-0.93384	-0.78964	-0.48244	-0.40994	-0.37234	-0.88184	-0.65354	0.42496	0.07886	0.08076	0.21976	0.13476	0.05956	-0.67894	0.26546	0.39636	0.35006	-0.04464	-0.36854	-0.67254	-0.49234	-1.11194	-0.01354	-0.81674	-1.14774	0.43076	-1.30164	1.15416	1.42426	-1.56514	-0.26304	0.78466	0.38106	0.15526	-0.32774	-0.10224	0.90336	0.98456	1.63646	1.25426	1.14626	0.87216	0.63166	0.97446	1.28916	0.96356	1.52676	1.92966	1.09576	1.42966	1.18166	0.86776	0.57366	1.01026	1.09526	1.08766	-0.36784	-0.04834	0.46526	-0.62644	-0.12354	0.20346	0.96976	0.25486	0.00336	0.22056	0.27226	0.61076	0.95386	-0.05914	-1.32304	0.41856	-0.10094	-0.82204	-0.28994	1.13686	0.41296	0.82066	1.27246	0.76456	0.95266	1.33546	0.62816	0.80886	0.82776	-0.08754	-0.02644	0.85406	0.54526	1.08486	-0.82914	0.56586	0.16086	0.94396	1.18286	1.00046	1.44396	-0.45264	0.81596	0.71556	0.87686	1.05936	0.98466	0.95066	0.67506	-0.14804	-0.39054	0.42286	0.70876	1.00216	0.66406	0.48486	0.82026	0.07036	1.14516	1.26436	0.11246	1.18966	0.72136
